user_id,Average Ratings,Average Pricepaid,user_location_country,user_location_city,channel
0,0.147727273,82.31818182,66,17468,2
0,0.147727273,82.31818182,66,3622,3
775887,0.098765432,57.98765432,69,25121,9
775887,0.098765432,57.98765432,69,17584,10
775905,0.012820513,33.28205128,205,37594,10
775904,0.015384615,24.92307692,205,1347,9
775903,0.09375,21.9375,205,36086,10
775902,0.34375,221.53125,205,45494,9
775902,0.34375,221.53125,205,1347,10
775900,0.122807018,36.07017544,66,23820,1
775894,0.109090909,102.9272727,205,2433,0
775894,0.109090909,102.9272727,205,2433,10
775894,0.109090909,102.9272727,205,1873,10
775890,0.166666667,51.51851852,205,6866,2
775886,0.037735849,39.13207547,69,44313,10
775854,0.192307692,54.86538462,66,47997,9
775882,0.058823529,28.8627451,66,41032,10
775878,0,85.58,205,46963,10
775873,0.1,50.24,0,56136,2
775870,0.28,126.8,205,33452,9
775870,0.28,126.8,205,33452,10
775867,0.183673469,52.97959184,46,51583,1
775864,0.14893617,73.04255319,77,29226,1
775862,0.130434783,31.52173913,66,44405,1
775906,0.173913043,98.39130435,66,34077,3
775906,0.173913043,98.39130435,66,34077,10
775907,0.111111111,72.53333333,66,38434,2
775909,0.204545455,200.4318182,133,28073,9
775909,0.204545455,200.4318182,133,50865,10
775909,0.204545455,200.4318182,133,32535,10
775913,0,60.72727273,66,2428,9
775913,0,60.72727273,66,35390,10
775968,0.953488372,515.8837209,133,15373,10
775968,0.953488372,515.8837209,12,53139,10
775968,0.953488372,515.8837209,133,18022,10
775968,0.953488372,515.8837209,46,43387,10
775968,0.953488372,515.8837209,72,29749,10
775968,0.953488372,515.8837209,1,2096,10
775968,0.953488372,515.8837209,74,30401,10
775968,0.953488372,515.8837209,63,38276,10
775968,0.953488372,515.8837209,93,32227,10
775968,0.953488372,515.8837209,1,33855,10
775968,0.953488372,515.8837209,5,48351,10
775968,0.953488372,515.8837209,93,32227,0
775968,0.953488372,515.8837209,1,42884,10
775967,0.209302326,104.372093,66,31479,10
775960,0.19047619,46.42857143,205,36086,9
775954,0.073170732,67.36585366,205,39417,0
775954,0.073170732,67.36585366,205,27655,9
